18/10/2022 22:08:26: LOG CLEARED
18/10/2022 22:08:26: KeyboardController Started...
18/10/2022 22:08:26: MouseController Started...
18/10/2022 22:08:28: '+' down
18/10/2022 22:08:28: '+' hold
18/10/2022 22:08:28: '+' hold
18/10/2022 22:08:28: '+' hold
18/10/2022 22:08:28: '+' hold
18/10/2022 22:08:29: '+' hold
18/10/2022 22:08:29: '+' hold
18/10/2022 22:08:29: '+' hold
18/10/2022 22:08:29: '+' hold
18/10/2022 22:08:29: '+' hold
18/10/2022 22:08:29: '+' up
18/10/2022 22:08:31: '+' down
18/10/2022 22:08:31: '+' up
18/10/2022 22:08:32: '+' down
18/10/2022 22:08:33: '+' hold
18/10/2022 22:08:33: '+' hold
18/10/2022 22:08:33: '+' hold
18/10/2022 22:08:33: '+' hold
18/10/2022 22:08:33: '+' hold
18/10/2022 22:08:33: '+' hold
18/10/2022 22:08:33: '+' hold
18/10/2022 22:08:33: '+' hold
18/10/2022 22:08:33: '+' hold
18/10/2022 22:08:33: '+' up
18/10/2022 22:08:55: Key.end down
18/10/2022 22:08:55: Key.end up
18/10/2022 22:08:55: Keyboard Listener Terminated
18/10/2022 22:08:55: Mouse Listener Terminated
